x,y,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0,elevation,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0
730832.4578,5026233.241,12.68214414,19.23686411,23.00296359,4.64,9.99166479,14.7004208,19.28706532
730832.4412,5026232.515,12.37214414,19.08686411,23.28296359,4.67,9.86166479,14.3104208,18.59706532
730832.4031,5026231.807,11.94214414,18.54686411,22.72296359,4.67,9.24166479,13.6604208,18.26706532
730832.3623,5026231.172,11.67214414,18.26686411,22.77296359,4.67,9.24166479,13.6604208,18.26706532
730832.315,5026230.25,11.76214414,18.59686411,23.09296359,4.7,9.07166479,13.3804208,18.00706532
730832.287,5026229.265,11.86214414,18.57686411,22.68296359,4.73,8.99166479,13.4004208,18.05706532
730832.23,5026228.325,12.07214414,18.74686411,23.04296359,4.75,9.24166479,13.7104208,18.21706532
730832.1674,5026227.356,12.35214414,19.22686411,23.46296359,4.78,9.30166479,13.7404208,18.32706532
730832.1264,5026226.406,12.47214414,19.38686411,23.33296359,4.8,9.37166479,13.9304208,18.61706532
730832.0539,5026225.457,13.02214414,19.70686411,22.96296359,4.81,9.92166479,14.7104208,19.41706532
730831.9757,5026224.489,13.38214414,20.24686411,23.98296359,4.82,10.30166479,15.2304208,19.76706532
730831.9279,5026223.545,13.37214414,20.48686411,24.42296359,4.83,10.08166479,14.9904208,19.67706532
730831.8741,5026222.584,13.46214414,20.76686411,24.06296359,4.83,10.11166479,15.2404208,20.23706532
730831.8263,5026221.641,13.91214414,20.51686411,23.46296359,4.85,10.65166479,15.9804208,20.96706532
730831.7841,5026220.688,13.98214414,20.96686411,24.47296359,4.85,10.65166479,15.9804208,20.96706532
730831.7436,5026219.723,13.64214414,20.48686411,23.32296359,4.87,10.66166479,15.9304208,20.92706532
730831.6229,5026218.773,13.71214414,20.56686411,24.38296359,4.87,10.67166479,16.0104208,20.72706532
730831.538,5026217.805,13.26214414,20.67686411,23.99296359,4.89,10.46166479,15.4804208,20.16706532
730831.4409,5026216.853,13.11214414,20.00686411,23.93296359,4.88,10.31166479,15.1904208,19.59706532
